,date,state,fips,cases,deaths
183,2021-03-20,Northern Mariana Islands,69,157,2
184,2021-03-20,North Dakota,38,101633,1492
185,2021-03-20,North Carolina,37,900319,11848
186,2021-03-20,New York,36,1779291,48916
187,2021-03-20,New Mexico,35,189560,3891
188,2021-03-20,New Jersey,34,862648,24134
189,2021-03-20,New Hampshire,33,80316,1217
190,2021-03-20,Nevada,32,300972,5171
191,2021-03-20,Nebraska,31,206685,2243
192,2021-03-20,Montana,30,103042,1415
193,2021-03-20,Missouri,29,578260,8816
194,2021-03-20,Mississippi,28,302677,6955
195,2021-03-20,Minnesota,27,504341,6845
196,2021-03-20,Michigan,26,690929,16897
197,2021-03-20,Massachusetts,25,612857,16832
198,2021-03-20,Maryland,24,399201,8158
199,2021-03-20,Maine,23,48292,728
200,2021-03-20,Louisiana,22,439737,9988
201,2021-03-20,Kentucky,21,423989,5777
202,2021-03-20,Kansas,20,302223,4842
203,2021-03-20,Iowa,19,345644,5675
204,2021-03-20,Indiana,18,680420,12926
205,2021-03-20,Illinois,17,1223884,23329
206,2021-03-20,Idaho,16,177501,1944
207,2021-03-20,Hawaii,15,28763,450
208,2021-03-20,Guam,66,8749,135
209,2021-03-20,Georgia,13,1018824,17965
210,2021-03-20,Florida,12,2004354,32712
211,2021-03-20,District of Columbia,11,43175,1049
212,2021-03-20,Delaware,10,91942,1526
213,2021-03-20,Connecticut,9,296691,7832
214,2021-03-20,Colorado,8,452174,6148
215,2021-03-20,California,6,3640704,57469
216,2021-03-20,Arkansas,5,328547,5533
217,2021-03-20,Arizona,4,835765,16733
218,2021-03-20,Alaska,2,60683,296
219,2021-03-20,Alabama,1,511087,10436
220,2021-03-19,Wyoming,56,55581,693
221,2021-03-19,Wisconsin,55,628634,7225
222,2021-03-19,West Virginia,54,137092,2600
223,2021-03-19,Washington,53,356637,5224
224,2021-03-19,Virginia,51,602182,10092
225,2021-03-19,Virgin Islands,78,2767,25
226,2021-03-19,Vermont,50,17393,217
227,2021-03-19,Utah,49,380787,2058
228,2021-03-19,Texas,48,2750088,47365
229,2021-03-19,Tennessee,47,784120,11606
230,2021-03-19,South Dakota,46,115518,1919
231,2021-03-19,South Carolina,45,538801,8966
232,2021-03-19,Rhode Island,44,133039,2595
233,2021-03-19,Puerto Rico,72,137510,2092
234,2021-03-19,Pennsylvania,42,985595,24817
235,2021-03-19,Oregon,41,161068,2369
236,2021-03-19,Oklahoma,40,434491,4788
237,2021-03-19,Ohio,39,997336,18340
238,2021-03-19,Northern Mariana Islands,69,157,2
239,2021-03-19,North Dakota,38,101545,1491
240,2021-03-19,North Carolina,37,898510,11833
241,2021-03-19,New York,36,1772624,48848
242,2021-03-19,New Mexico,35,189374,3884
243,2021-03-19,New Jersey,34,857739,24103
244,2021-03-19,New Hampshire,33,79996,1213
245,2021-03-19,Nevada,32,300709,5161
246,2021-03-19,Nebraska,31,206470,2243
247,2021-03-19,Montana,30,102900,1410
248,2021-03-19,Missouri,29,577715,8813
249,2021-03-19,Mississippi,28,302316,6945
250,2021-03-19,Minnesota,27,502961,6839
251,2021-03-19,Michigan,26,687603,16848
252,2021-03-19,Massachusetts,25,610481,16803
253,2021-03-19,Maryland,24,398083,8132
254,2021-03-19,Maine,23,48070,728
255,2021-03-19,Louisiana,22,439737,9988
256,2021-03-19,Kentucky,21,423499,5744
257,2021-03-19,Kansas,20,302223,4842
258,2021-03-19,Iowa,19,345304,5673
259,2021-03-19,Indiana,18,679529,12922
260,2021-03-19,Illinois,17,1222043,23304
261,2021-03-19,Idaho,16,177292,1944
262,2021-03-19,Hawaii,15,28678,449
263,2021-03-19,Guam,66,8749,135
264,2021-03-19,Georgia,13,1017114,17903
265,2021-03-19,Florida,12,1999249,32650
266,2021-03-19,District of Columbia,11,43034,1047
267,2021-03-19,Delaware,10,91635,1522
268,2021-03-19,Connecticut,9,296691,7832
269,2021-03-19,Colorado,8,450349,6142
270,2021-03-19,California,6,3638515,57391
271,2021-03-19,Arkansas,5,328273,5529
272,2021-03-19,Arizona,4,835056,16695
273,2021-03-19,Alaska,2,60683,296
274,2021-03-19,Alabama,1,510579,10425
275,2021-03-18,Wyoming,56,55479,693
276,2021-03-18,Wisconsin,55,627949,7211
277,2021-03-18,West Virginia,54,136716,2570
278,2021-03-18,Washington,53,355706,5225
279,2021-03-18,Virginia,51,600550,10182
280,2021-03-18,Virgin Islands,78,2767,25
281,2021-03-18,Vermont,50,17247,217
282,2021-03-18,Utah,49,380340,2041
283,2021-03-18,Texas,48,2746187,47199
284,2021-03-18,Tennessee,47,782482,11578
285,2021-03-18,South Dakota,46,115203,1919
286,2021-03-18,South Carolina,45,537498,8938
287,2021-03-18,Rhode Island,44,132616,2594
288,2021-03-18,Puerto Rico,72,137294,2089
289,2021-03-18,Pennsylvania,42,982115,24781
290,2021-03-18,Oregon,41,160642,2362
291,2021-03-18,Oklahoma,40,434075,4788
292,2021-03-18,Ohio,39,995785,17992
293,2021-03-18,Northern Mariana Islands,69,157,2
294,2021-03-18,North Dakota,38,101434,1490
295,2021-03-18,North Carolina,37,896687,11812
296,2021-03-18,New York,36,1767547,48773
297,2021-03-18,New Mexico,35,189158,3879
298,2021-03-18,New Jersey,34,853347,24076
299,2021-03-18,New Hampshire,33,79702,1207
300,2021-03-18,Nevada,32,300442,5157
301,2021-03-18,Nebraska,31,206196,2241
302,2021-03-18,Montana,30,102736,1407
303,2021-03-18,Missouri,29,577070,8811
304,2021-03-18,Mississippi,28,301924,6938
305,2021-03-18,Minnesota,27,501526,6830
306,2021-03-18,Michigan,26,683339,16835
307,2021-03-18,Massachusetts,25,608318,16759
308,2021-03-18,Maryland,24,396930,8113
309,2021-03-18,Maine,23,47832,727
310,2021-03-18,Louisiana,22,439543,9974
311,2021-03-18,Kentucky,21,422546,5524
312,2021-03-18,Kansas,20,301786,4837
313,2021-03-18,Iowa,19,344860,5673
314,2021-03-18,Indiana,18,678669,12907
315,2021-03-18,Illinois,17,1219667,23287
316,2021-03-18,Idaho,16,176910,1940
317,2021-03-18,Hawaii,15,28509,448
318,2021-03-18,Guam,66,8749,135
319,2021-03-18,Georgia,13,1015565,17861
320,2021-03-18,Florida,12,1994109,32597
